bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Arctic Loon,Gavia arctica,,"The Old World counterpart to our Pacific Loon, entering North America mainly as an uncommon summer resident in far western Alaska. The two are very similar, and until recently they were combined as one species under the name 'Arctic Loon.' The true Arctic Loon (of the form found in eastern Siberia and western Alaska) is larger than the Pacific Loon, but its habits are similar.",Least Concern,"Lakes, Ponds, and Rivers, Open Ocean, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/arctic-loon
Aplomado Falcon,Falco femoralis,,"This trim, elegant falcon once nested in desert grassland of the southwest, but it has been very rare north of the Mexican border since the 1920s or before. Recently a few have reappeared in New Mexico and western Texas, and there has been a major attempt to reintroduce the species in southern Texas.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/aplomado-falcon
Gila Woodpecker,Melanerpes uropygialis,,"A brash, noisy woodpecker of desert regions. Common and conspicuous in stands of saguaro, or giant cactus, it also lives in the trees along desert rivers, and is quick to move into towns and suburbs. This species and the Gilded Flicker are the two main architects of desert apartment houses: the holes they excavate in giant cactus are later used as nesting sites by many other birds, from flycatchers and martins to owls and kestrels.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/gila-woodpecker
Common Eider,Somateria mollissima,,"A big, lethargic, heavy-bodied duck of northern coastlines. Often seen floating offshore in flocks of up to several thousand birds. Sociable in breeding season also, and often nests in colonies. Eider down, famous for its insulating qualities, is used in large amounts in the nest lining of these ducks, helping to keep the eggs warm in frigid northern climates. In some places, such as Iceland, the down is harvested commercially at coastal 'eider farms,' where the wild birds are encouraged to nest in sheltered nooks built for them.",Near Threatened,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Open Ocean, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/common-eider
Verdin,Auriparus flaviceps,,"Tiny but tough, Verdins are adaptable little birds of hot desert regions. They are usually seen singly or in pairs, flitting about actively in the brush, sometimes giving sharp callnotes. The birds may build several nests per year, including new ones to sleep in on winter nights. These conspicuous, bulky stick nests may last for several seasons in the dry desert air, and often seem more numerous than the Verdins themselves.",Least Concern,"Desert and Arid Habitats, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/verdin
Brown-crested Flycatcher,Myiarchus tyrannulus,,"Of the three similar crested flycatchers in the west, this is the largest. It is a common summer resident in the southwest, mainly in southern Texas and Arizona. Brown-crested Flycatchers are conspicuous and aggressive in the nesting season; they arrive late in spring, after most other hole-nesting birds, and may have to compete for nest sites. Typically they feed on large insects like beetles or cicadas, but they also have been seen catching hummingbirds on occasion.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/brown-crested-flycatcher
Fork-tailed Flycatcher,Tyrannus savana,,"This spectacular wanderer from the tropics occurs virtually every year in North America. Although it is impossible to predict just where it will appear, the majority of records are along the Atlantic Coast, and there are more records in fall than in other seasons. Most Fork-tailed Flycatchers reaching our area probably come from southern South America: long-distance migrants that have made major errors in navigation.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Saltwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/fork-tailed-flycatcher
Canyon Wren,Catherpes mexicanus,,"One of the best songsters in the west, the Canyon Wren is usually heard before it is seen. Surprisingly elusive and skulking even in open terrain, this dark rusty wren disappears and reappears as it creeps about the jumbled rocks of an eroded cliff or steep canyon wall. If the observer waits, the bird will eventually jump to the top of an exposed boulder to pour out another song, a rippling and musical cascade of notes, well suited to beautiful wild canyons.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/canyon-wren
Bahama Mockingbird,Mimus gundlachii,,"A localized resident of the Bahamas and a few other islands in the western Caribbean, this hefty mockingbird has strayed to southern Florida on a number of occasions since the early 1970s. One male returned for several springs to Key West, where it may have interbred with local Northern Mockingbirds.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/bahama-mockingbird
Black Tern,Chlidonias niger,,"A small, graceful marsh tern, black and silver in breeding plumage. In its choice of surroundings, it leads a double life: in North America in summer it is a typical bird of freshwater marshes, but in winter it becomes a seabird along tropical coasts. Vulnerable to loss of marsh habitat, its numbers have decreased in many areas during recent decades.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/black-tern
Gadwall,Mareca strepera,,"In many of our dabbling ducks, the males have bright ornate patterns, while the females are plainly marked with brown and gray. In the Gadwall, even the male looks plain at a distance; only a close view reveals subtle but beautiful colors. Although it is widespread in North America (and in Europe and Asia as well), the Gadwall is most common on inland waters west of the Mississippi River.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/gadwall
Ladder-backed Woodpecker,Dryobates scalaris,,"A small woodpecker of arid country. Because of its size, it is able to make a living even in scrubby growth along dry washes (other desert woodpeckers, like Gila Woodpecker and Gilded Flicker, require giant cactus or larger trees for nest sites). Closely related to Nuttall's Woodpecker of the Pacific Coast; their ranges meet in California foothills, and they sometimes interbreed there.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/ladder-backed-woodpecker
Red-crowned Amazon,Amazona viridigenalis,,"When these stocky parrots fly overhead, they may be recognized by their loud cries of heeeyo, cra-cra-cra. Birds escaped from captivity are free-flying (and sometimes nesting) locally in Florida and California; those seen in southern Texas include escapees and possibly also wild strays from Mexico. Ironically, on its limited native range in northeastern Mexico, the species has declined seriously and might even be considered threatened.",Endangered,"Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-crowned-parrot
Lark Sparrow,Chondestes grammacus,,"Many sparrows are challenging to identify, but this one is a striking exception, with its bold face pattern and broad, white-edged tail. Lark Sparrows favor areas with bare open ground and scattered bushes, habitats that are more common in the West and Midwest than in the East; they often forage conspicuously out in the open. When going from place to place, they tend to fly higher than most sparrows, giving a sharp callnote as they pass overhead.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/lark-sparrow
Black-crested Titmouse,Baeolophus atricristatus,,"A characteristic bird of much of southern and central Texas, barely extending northward into southwestern Oklahoma. This is a close relative of the Tufted Titmouse of eastern North America, and was treated as a subspecies at one time. Where the ranges of the two species meet in east-central Texas, they sometimes interbreed, producing hybrids that may show a dark gray crest and a reddish brown forehead.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/black-crested-titmouse
Great Cormorant,Phalacrocorax carbo,,"Widespread in the Old World, the Great Cormorant was once an uncommon and local breeder in a limited area of eastern Canada. In recent decades its North American population has gone through a great increase and expansion, with the nesting range now extending south into New England.",Least Concern,"Coasts and Shorelines, Open Ocean, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/great-cormorant
Greater Yellowlegs,Tringa melanoleuca,,"At ponds and tidal creeks, this trim and elegant wader draws attention to itself by bobbing its head and calling loudly when an observer approaches. In migration, the Greater Yellowlegs is common from coast to coast. Sometimes it may annoy the birder by spooking the other shorebirds with its alarm calls; usually it is a pleasure to watch as it feeds actively in the shallows, running about on trademark yellow legs.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/greater-yellowlegs
Ash-throated Flycatcher,Myiarchus cinerascens,,"This pale flycatcher is common and widespread in arid country of the west. Like its close relatives, it nests in holes in trees. However, because it lives in dry terrain where trees are often small or scarce, it will resort to other sites; nests have been found in such odd places as exhaust pipes, hollow fence posts, mailboxes, and even in trousers hanging on a clothesline.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/ash-throated-flycatcher
Nashville Warbler,Leiothlypis ruficapilla,,"Pioneer birdman Alexander Wilson encountered this bird first near Nashville, Tennessee, and it has been called Nashville Warbler ever since -- even though Wilson's birds were just passing through in migration, and the species does not nest anywhere near Tennessee. This small warbler is fairly common in both the east and the west, often seen foraging in thickets and young trees, flicking its short tail frequently as it seeks insects among the foliage.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/nashville-warbler
Western Grebe,Aechmophorus occidentalis,,"Western Grebes are highly gregarious at all seasons, nesting in colonies and wintering in flocks. Their thin, reedy calls are characteristic sounds of western marshes in summer.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/western-grebe
Short-tailed Hawk,Buteo brachyurus,,"This rather small tropical hawk enters our area only in Florida. Even there it is uncommon, with widely scattered pairs nesting along the edges of woods in the central part of the state. It seldom perches in the open; when hunting, it regularly soars very high, where it may go unnoticed by the observer on the ground. Unlike most of the Buteo hawks, the Short-tail feeds mostly on small birds, dropping from the sky to take them by surprise.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/short-tailed-hawk
Ruddy Turnstone,Arenaria interpres,,"A chunky, short-legged sandpiper, wearing a bright harlequin pattern in summer, dark brown in winter. The Ruddy Turnstone nests on high arctic tundra of North America and Eurasia, and winters along the coastlines of six continents. In migration it is seen mainly along the coast, although numbers may stop over at favored points inland, especially along the Great Lakes.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/ruddy-turnstone
Black-backed Woodpecker,Picoides arcticus,,"Generally uncommon, but not so quiet or inconspicuous as the American Three-toed Woodpecker. Where the two species are found together, the Black-backed usually dominates, perhaps driving the Three-toed away from choice feeding or nesting areas.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, High Mountains",https://www.audubon.org/field-guide/bird/black-backed-woodpecker
Northern Wheatear,Oenanthe oenanthe,,"On fall weekends in the northeast, birders sometimes hope (but never expect) to find a Wheatear. This small chat enters the North American arctic from both directions, via both Greenland and Alaska, but almost all go back to the Old World in winter; only the occasional straggler appears south of Canada. Northern Wheatears can be found in summer on rocky tundra, where they are inconspicuous until they fly, flashing their tail pattern. In the Old World there are almost 20 species of wheatears, most of them in desert regions.",Least Concern,"Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/northern-wheatear
Green Jay,Cyanocorax yncas,,"Unmistakably tropical, the Green Jay enters our area only in southern Texas. There it is common in native woods and mesquite brush. Around some parks and refuges it is very tame, coming to picnic tables for scraps; but at other places it can be elusive, and surprisingly hard to see despite its bright colors. Green Jays live in pairs or social groups at all seasons, communicating with each other with a bizarre variety of different calls.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/green-jay
Sooty Grouse,Dendragapus fuliginosus,,"A large, dark grouse of western coastal forests, also living in mountain forest in the Sierras of California. Until recently, this and the Dusky Grouse were combined as one species, under the name Blue Grouse. Slow-moving and inconspicuous, but often surprisingly tame. Most likely to be noticed (at least by sound) in spring, when males 'sing' a series of deep hoots, often from more than 100 feet up in a dense evergreen tree.",Least Concern,Forests and Woodlands,https://www.audubon.org/field-guide/bird/sooty-grouse
California Thrasher,Toxostoma redivivum,,"Several kinds of dull gray-brown thrashers occur in the West, but this is the only one along the California coast. The bird's normal range is limited to California and a corner of Baja, but within that range it is quite common in the chaparral, even coming into brushy suburbs. It spends most of its time on the ground, walking and running with its tail often held high, stopping to dig in the dirt with its sickle-shaped bill.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/california-thrasher
Clapper Rail,Rallus crepitans,,"A clattering cackle in the salt marsh is often our first clue to the presence of this big rail. The Clapper Rail is usually hidden in dense cover, but sometimes we see it stalking boldly along the muddy edge of the marsh, twitching its short tail as it walks, or swimming across a tidal creek. Historically it was abundant on the Atlantic Coast -- Audubon reported that it was possible to find a hundred nests in a day -- but now much more localized, as coastal marsh has been broken up by development.",Least Concern,"Coasts and Shorelines, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/clapper-rail
Whimbrel,Numenius phaeopus,,"The most widespread of the curlews, nesting in the Arctic across North America and Eurasia, wintering on the coasts of six continents. Whimbrels tend to concentrate in flocks at a few favored spots in migration, so that the observer sees either many of them or else very small numbers. The name 'Whimbrel,' originating in England, apparently began as a loose interpretation of the bird's call.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/whimbrel
Fulvous Whistling-Duck,Dendrocygna bicolor,,"A lanky bird of shallow wetlands, widespread in the tropics of Africa, Asia, and the Americas. Known for its tendency to wander hundreds of miles in roving flocks. Unlike Black-bellied Whistling-Duck, this species seldom perches in trees.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers",https://www.audubon.org/field-guide/bird/fulvous-whistling-duck
Lewis's Woodpecker,Melanerpes lewis,,"One of our oddest woodpeckers (and not only because of its colors, which include pink, silver, and oily green). Although it climbs trees in woodpecker style, it feeds mostly by catching insects in acrobatic flight: swooping out from a perch like a flycatcher, circling high in the air like a swallow. Wide rounded wings give it a more buoyant flight than most woodpeckers. In fall, Lewis's Woodpecker chops up acorns and other nuts, stores them in crevices, then guards the storage area for its winter food supply. Discovered on the Lewis and Clark expedition of 1804-1806, and named for the expedition's co-leader.",Least Concern,"Arroyos and Canyons, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/lewiss-woodpecker
Gray Kingbird,Tyrannus dominicensis,,"Widespread in the Caribbean, this big flycatcher enters our area mainly in Florida. There it is numerous in summer, mainly along the coasts, less common toward the north. The Gray Kingbird is often conspicuous, perching in the open and giving loud, arresting calls. Its original nesting habitat along the coast has been partly taken over by development, but the bird has adapted, and it now nests in residential areas, farmland, and even cities.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/gray-kingbird
Barrow's Goldeneye,Bucephala islandica,,"The less numerous of the two goldeneye species, found mainly in wild country of northwestern North America, with small populations in eastern Canada and Iceland. Occurs in small groups in winter on cold waters, sometimes associating with Common Goldeneye flocks. Since it does not always nest in tree cavities, Barrow's may nest farther north than Common Goldeneye, extending north of treeline.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/barrows-goldeneye
Cackling Goose,Branta hutchinsii,,"The white-cheeked geese of North America were long considered to make up just one highly variable species, Canada Goose. It was not until 2004 that four of the smallest forms were formally recognized as comprising a distinct species. As their name suggests, Cackling Geese have much higher-pitched voices than the familiar honking of Canada Geese.",Least Concern,"Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/cackling-goose
White-tailed Tropicbird,Phaethon lepturus,,"In the United States, this beautiful bird is seen mostly in Hawaii and around the Dry Tortugas, Florida. This is the national bird of Bermuda, where the 'Longtail' is familiar to all and is given complete protection.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/white-tailed-tropicbird
Great Black-backed Gull,Larus marinus,,"Our largest gull. Primarily a bird of the Atlantic Coast, seldom seen inland except around the Great Lakes. Because of its large size and omnivorous feeding habits, the Great Black-back can be a significant predator on other species of birds during the nesting season. It has benefitted from certain human activities (such as the establishment of garbage dumps) and has expanded its range southward along the Atlantic seaboard in recent decades.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Landfills and Dumps, Open Ocean, Saltwater Wetlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/great-black-backed-gull
Monk Parakeet,Myiopsitta monachus,,"Most parrots and parakeets nest in holes in trees, but this South American native builds bulky stick nests among the branches, both for raising young and for sleeping in at night. Many North American cities now have local colonies of Monk Parakeets, established by birds escaped from captivity. Despite some dire predictions in the past, these noisy but colorful birds have not yet spread to take over the countryside.",Least Concern,"Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/monk-parakeet
Laysan Albatross,Phoebastria immutabilis,,"In total population, this species is much more numerous than Black-footed Albatross. However, it is seen less often off the west coast of North America (and generally farther offshore), although sightings have increased in recent decades. Beginning in the 1980s, it has been found nesting on islands off the west coast of Mexico, a range extension of thousands of miles. Oddly, several Laysan Albatrosses have been found far inland in the southwestern United States.",Near Threatened,Open Ocean,https://www.audubon.org/field-guide/bird/laysan-albatross
Western Wood-Pewee,Contopus sordidulus,,"Small and plain, but often very common, this flycatcher of western woodlands is best known by its voice. Its burry, descending whistle has a hazy sound, well suited to hot summer afternoons. The bird also sings at dawn and dusk, including late in the evening when most other songbirds are quiet. This species and the Eastern Wood-Pewee look almost exactly alike; however, like some other small flycatchers, they evidently recognize their own kind primarily by voice.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/western-wood-pewee
Semipalmated Sandpiper,Calidris pusilla,,"Small and plain in appearance, this sandpiper is important in terms of sheer numbers. It often gathers by the thousands at stopover points during migration. Semipalmated Sandpipers winter mostly in South America, and studies have shown that they may make a non-stop flight of nearly 2000 miles from New England or eastern Canada to the South American coast. The name 'Semipalmated' refers to slight webbing between the toes, visible only at extremely close range.",Near Threatened,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/semipalmated-sandpiper
Blue-winged Warbler,Vermivora cyanoptera,,"The simple buzzy song of the Blue-winged Warbler is often heard in brushy overgrown fields and thickets in the East during the summer. Although the bird is not especially shy, it can be a challenge to observe as it forages actively in the dense brush. In recent decades this species has been expanding its range northward, encroaching on the territory of its close relative, the Golden-winged Warbler. The two species often interbreed.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/blue-winged-warbler
Prairie Warbler,Setophaga discolor,,"Not a bird of open prairies, this warbler nests mainly in young second growth scrub and densely overgrown fields in eastern North America. Such habitats are often temporary, and colonies may shift around from year to year. In Florida, more permanent populations are found in coastal mangroves. In all of these sun-drenched habitats, the thin buzzy song of the male seems suited to the glare of hot summer days. Prairie Warblers usually stay low, moving about actively in the brush and flicking their tails.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/prairie-warbler
Dovekie,Alle alle,,"The smallest member of the auk family in the North Atlantic. Feeds on abundant tiny crustaceans in icy waters, and nests by the millions far above Arctic Circle, such as northwest Greenland; its center of abundance is farther north than that of any other auk. Small numbers come as far south as New England waters in winter, rarely farther, but the vast majority remain farther north. On the water, Dovekies bob about buoyantly; flocks fly low over the waves. Winter storms sometimes drive them close to the coast or even inland.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/dovekie
Oak Titmouse,Baeolophus inornatus,,"As plain as a bird can be, marked only by a short crest, the Oak Titmouse nonetheless has personality. Pairs or family parties travel about the woods together, exploring the twigs for insects and calling to each other frequently. Until recently, this bird and the Juniper Titmouse were regarded as one species under the name of Plain Titmouse.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/oak-titmouse
Phainopepla,Phainopepla nitens,,"In the desert southwest, Phainopeplas and mistletoe rely on each other. Phainopeplas feed heavily on berries of this parasitic plant; after the berries pass through the bird's digestive tract, the seeds often stick to branches of mesquite or other trees, where they can sprout new mistletoe clumps. Flocks of these slim, elegant birds may gather to feed on seasonally abundant crops, such as elderberries. At other times, Phainopeplas are solitary, each bird defending a few small trees with several large clumps of mistletoe, and attempting to drive away any other fruit-eating birds that come close.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/phainopepla
Tennessee Warbler,Leiothlypis peregrina,,"This bird is found in Tennessee only briefly, during spring and fall migration; but there is no point in giving it a more descriptive name, because the bird itself is nondescript. The male makes up for his plain appearance with a strident staccato song, surprisingly loud for the size of the bird. Nesting in northern forests, the Tennessee Warbler goes through population cycles: it often becomes very numerous during population explosions of the spruce budworm, a favored food.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/tennessee-warbler
Black Guillemot,Cepphus grylle,,"In the northeast, this bird may be seen swimming and diving around rocky shorelines. A 'Black' Guillemot only in summer, it looks mostly frosty white in winter. Very similar to Pigeon Guillemot of Pacific Coast, and overlaps with it locally in Alaska.",Least Concern,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/black-guillemot
Kirtland's Warbler,Setophaga kirtlandii,,"One of our rarest songbirds, Kirtland's is a relatively large warbler that forages slowly, close to the ground, wagging its tail up and down. It nests only in stands of young jack pines in central Michigan, a habitat that grows up only briefly after fires, and its nests have been heavily parasitized in recent decades by Brown-headed Cowbirds. Controlled burning to create more habitat, and control of cowbird numbers, have helped the warbler somewhat, but it is not necessarily out of danger yet.",Near Threatened,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/kirtlands-warbler
Canada Warbler,Cardellina canadensis,,"Known by its necklace of short stripes, the Canada Warbler is a summer resident of moist, shady woods in the East. It usually stays in the understory, feeding in the bushes or on the ground. Sometimes hard to see in this dense cover, it is not especially shy, and a patient observer can usually get good looks. Although it does breed in Canada, it also nests in the higher Appalachians as far south as Georgia.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/canada-warbler
Olive-sided Flycatcher,Contopus cooperi,,"This compact, big-headed flycatcher sits bolt upright on top of the highest dead branch of a tree, calling pip-pip at intervals, as if to ensure that birders notice it. A long-distance migrant, the Olive-sided Flycatcher breeds mostly in northern coniferous forest and winters in the tropics. It has become noticeably less common in recent years, perhaps because of a loss of habitat on the wintering grounds.",Near Threatened,"Forests and Woodlands, Freshwater Wetlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/olive-sided-flycatcher
Horned Grebe,Podiceps auritus,,"A small diver found mostly on northern marshes in summer, coastal bays in winter. Also widespread in Eurasia, where it is called Slavonian Grebe. Similar to Eared Grebe, but much less gregarious, it seldom nests in colonies and seldom gathers in large flocks at other seasons. Like other grebes, it must patter across surface of water to become airborne; may become trapped when waters freeze quickly overnight.",Vulnerable,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Open Ocean, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/horned-grebe
Tricolored Blackbird,Agelaius tricolor,,"While the Red-winged Blackbird is abundant over most of the continent, the very similar Tricolored Blackbird has a very small range in the Pacific states. It differs in its highly social nesting: in a dense cattail marsh, nests may be packed in close together, only a foot or two apart. Some colonies may have over 100,000 nests, although such large concentrations seem to be growing scarcer in recent years, as the birds shift to smaller (but hopefully more) colonies.",Endangered,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands",https://www.audubon.org/field-guide/bird/tricolored-blackbird
Swamp Sparrow,Melospiza georgiana,,"The reddish cap might suggest a Chipping Sparrow, but this bird of the marshes is bigger and bulkier, a solitary skulker in dense cover. Swamp Sparrows are common in summer in cattail marshes and brushy swamps across the Northeast, Midwest, and much of Canada. In winter they live not only in marshes but also in thickets and weedy fields away from water. Although they often stay out of sight, they may be detected by their sharp callnotes, and they will come up to investigate a birder who makes loud 'squeaking' sounds next to the marsh.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/swamp-sparrow
Red-necked Phalarope,Phalaropus lobatus,,"Phalaropes reverse the usual sex roles in birds: Females are larger and more colorful than males; females take the lead in courtship, and males are left to incubate the eggs and care for the young. Red-necked Phalaropes nest around arctic tundra pools and winter at sea. During migration they pause on shallow ponds in the west, where they spin in circles, picking at the water's surface. However, most apparently migrate offshore, especially in the east. Despite their small size and delicate shape, they seem perfectly at home on the open ocean.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Open Ocean, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/red-necked-phalarope
Black Swift,Cypseloides niger,,"The largest swift normally found in North America, uncommon and local in the far west. Where it occurs, it may be seen flying very high, gliding and wheeling gracefully in pursuit of flying insects. The Black Swift seems to be limited in range by its very particular choice of nesting sites: it requires shady, sheltered spots on vertical cliffs totally inaccessible to predators, and often nests on the damp rock behind waterfalls.",Vulnerable,"Arroyos and Canyons, Coasts and Shorelines, Forests and Woodlands, High Mountains",https://www.audubon.org/field-guide/bird/black-swift
Rock Ptarmigan,Lagopus muta,,"A hardy grouse of barren ground in the high Arctic, well adapted to harsh surroundings. Well camouflaged by white winter plumage and mottled brown summer plumage; male molts later in spring than female, so early in the breeding season he remains conspicuously white while she becomes almost invisible against the tundra.",Least Concern,Tundra and Boreal Habitats,https://www.audubon.org/field-guide/bird/rock-ptarmigan
Rock Wren,Salpinctes obsoletus,,"Arid rocky canyons and seemingly barren piles of boulders are home to this active little bird, the palest of our wrens. Birders who explore such places may spot the Rock Wren bouncing up and down on its short legs, as if on springs, while it gives a metallic callnote that echoes among the rocks. The nest of this wren can sometimes be located by its curious 'front porch,' a paving of small pebbles on the ground in front of the nest entrance.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/rock-wren
Pink-footed Goose,Anser brachyrhynchus,,"Although many Pink-footed Geese nest in Greenland and Iceland, these birds all migrate across the North Atlantic to spend the winter in Britain and northwestern Europe. Strays that have gone the wrong direction have been found in North America only a couple of times, in eastern Canada.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/pink-footed-goose
Spotted Dove,Spilopelia chinensis,,"Native to southern Asia, this dove was introduced into the Los Angeles area of California around 1917. Since then, it has gradually spread, occupying areas north to Santa Barbara and Bakersfield and south to San Diego. Living mostly in residential areas, it is usually rather tame, feeding on lawns and gardens. When disturbed, it flies almost straight up from the ground with noisy flapping of its wings.",Least Concern,Urban and Suburban Habitats,https://www.audubon.org/field-guide/bird/spotted-dove
